"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_D3.0mm";1;"LED";;;
2;"SW1";"SWITCH";1;"SW_DIP_x01";;;
3;"U1";"DIP-16_W7.62mm";1;"74HC595n";;;
4;"U2";"DIP-28_W7.62mm";1;"ATMEGA328P-PU";;;
5;"U3";"10-PIN";1;"10-PIN-HEADER";;;
6;"U5";"5-PIN";1;"5-PIN-HEADER";;;
7;"U8";"DHT11";1;"DHT11";;;
8;"U9";"ESP01";1;"ESP-01";;;
9;"U10";"LCD-16x2";1;"LCD-16X2";;;
10;"Y1";"Crystal_HC18-U_Vertical";1;"Crystal";;;
11;"U4";"TO-220-3_Vertical";1;"LM317_TO3";;;
12;",,,";"MountingHole_3.2mm_M3";4;"M3";;;
13;"C1,C3";"electrolytic_cap";2;"C1.0µF";;;
14;"C2";"disc_capacitor";1;"C0.1µF";;;
15;"C4,C5";"disc_capacitor";2;"C22pF";;;
16;"R1,R2,R3,R6,R9,R10";"0.25_watt_resistor";6;"R1K";;;
17;"R4";"0.25_watt_resistor";1;"R390";;;
18;"R5";"0.25_watt_resistor";1;"R220";;;
19;"R7,R8";"0.25_watt_resistor";2;"R10K";;;
20;"R11";"0.25_watt_resistor";1;"R2K";;;
21;"R12";"0.25_watt_resistor";1;"R240";;;
22;"RV1";"Potentiometer_Trimmer_Bourns_3296W";1;"POT";;;
23;"J1";"DCJACK";1;"Jack-DC";;;
24;"L1";"lm2596-module_smaller_better_pads";1;"LM2596";;;
25;"C6";"electrolytic_cap";1;"C1uF";;;
26;"U6";"3-PIN";1;"3-PIN-HEADER";;;
27;"U7";"MICROSD2";1;"MicroSD-Module";;;
